ZIP,week,confirmed_cases,new_confirmed_cases,device_count,distance_traveled_from_home,completely_home_device_count,median_home_dwell_time,median_non_home_dwell_time,median_percentage_time_home,population,Density_Per_Sq_Mile,cases_adjusted_by_pop,new_cases_adjusted_by_pop,Income_level,stay_home_ratio,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,week3
90018,2020/3/29,8,7,1176,5339,529,767,15,98,53256,18389,0.000150218,0.00013159999999999995,1,0.449829932,45.0,27.0,46.0,-45.0,-21.0,-38.0,-51.0,-46.0,22.0,23
90018,2020/4/5,35,29,1329,4924,651,767,6,99,53256,18389,0.000657203,0.000544641,1,0.489841986,45.0,25.0,47.0,-45.0,-21.0,-42.0,-52.0,-49.0,22.0,23
90018,2020/4/12,58,23,1233,4944,650,844,3,99,53256,18389,0.001089079,0.000431904,1,0.527169505,42.0,21.0,40.0,-53.0,-28.0,-59.0,-58.0,-52.0,25.0,60
90018,2020/4/19,81,23,1114,5041,541,853,8,99,53256,18389,0.001520955,0.000432004,1,0.485637343,49.0,23.0,49.0,-53.0,-23.0,-44.0,-52.0,-47.0,22.0,40
90018,2020/4/26,139,60,1195,5180,553,739,11,98,53256,18389,0.002610035,0.001126647,1,0.462761506,54.0,25.0,55.0,-55.0,-19.0,-39.0,-51.0,-46.0,21.0,27
90018,2020/5/3,177,40,1183,5400,550,739,11,98,53256,18389,0.003323569,0.0007510619999999999,1,0.464919696,59.0,26.0,59.0,-50.0,-16.0,-34.0,-47.0,-45.0,19.0,26
90018,2020/5/10,204,27,1258,4811,568,727,10,98,53256,18389,0.003830554,0.0005069990000000001,1,0.451510334,67.0,28.0,68.0,-47.0,-9.0,-27.0,-44.0,-43.0,18.0,30
90019,2020/3/29,11,4,1707,4462,718,911,28,97,66245,17038,0.00016605,6.04e-05,2,0.420620972,45.0,27.0,46.0,-45.0,-21.0,-38.0,-51.0,-46.0,22.0,13
90019,2020/4/5,38,27,1916,4705,872,879,15,98,66245,17038,0.0005736280000000001,0.00040765,2,0.455114823,45.0,25.0,47.0,-45.0,-21.0,-42.0,-52.0,-49.0,22.0,7
90019,2020/4/12,49,13,1762,4574,852,943,10,98,66245,17038,0.000739678,0.0001963,2,0.48354143,42.0,21.0,40.0,-53.0,-28.0,-59.0,-58.0,-52.0,25.0,31
90019,2020/4/19,56,7,1676,5158,743,947,20,97,66245,17038,0.000845347,0.0001057,2,0.443317422,49.0,23.0,49.0,-53.0,-23.0,-44.0,-52.0,-47.0,22.0,22
90019,2020/4/26,87,31,1799,4624,746,883,20,97,66245,17038,0.001313307,0.000468046,2,0.414674819,54.0,25.0,55.0,-55.0,-19.0,-39.0,-51.0,-46.0,21.0,18
90019,2020/5/3,109,22,1733,4410,757,869,20,97,66245,17038,0.0016454070000000002,0.000332159,2,0.436814772,59.0,26.0,59.0,-50.0,-16.0,-34.0,-47.0,-45.0,19.0,17
90019,2020/5/10,127,18,1797,3998,767,845,19,97,66245,17038,0.001917126,0.0002718,2,0.426822482,67.0,28.0,68.0,-47.0,-9.0,-27.0,-44.0,-43.0,18.0,20
90020,2020/3/29,9,9,1615,3995,735,948,20,97,39102,34603,0.000230167,0.0002302,1,0.455108359,45.0,27.0,46.0,-45.0,-21.0,-38.0,-51.0,-46.0,22.0,38
90020,2020/4/5,39,30,1721,3641,867,1009,7,99,39102,34603,0.000997391,0.0007672260000000001,1,0.5037768739999999,45.0,25.0,47.0,-45.0,-21.0,-42.0,-52.0,-49.0,22.0,28
90020,2020/4/12,77,38,1648,3688,872,1091,3,99,39102,34603,0.001969209,0.000971795,1,0.529126214,42.0,21.0,40.0,-53.0,-28.0,-59.0,-58.0,-52.0,25.0,50
90020,2020/4/19,105,28,1558,3894,768,1062,7,99,39102,34603,0.002685285,0.000715932,1,0.492939666,49.0,23.0,49.0,-53.0,-23.0,-44.0,-52.0,-47.0,22.0,46
