ZIP,date_start - date_end,Predictd new cases,cases/10000 population
90255,2020/5/10 - 2020/5/16,52.464653,6.94344
90255,2020/5/17 - 2020/5/23,37.264893,4.93183
90262,2020/4/5 - 2020/4/11,26.728636,3.76799
90262,2020/4/12 - 2020/4/18,18.751022,2.64337
90262,2020/4/19 - 2020/4/25,19.316492,2.72309
90262,2020/4/26 - 2020/5/2,48.00733,6.7677
90262,2020/5/3 - 2020/5/9,42.432,5.98173
90262,2020/5/10 - 2020/5/16,40.56623,5.71871
90262,2020/5/17 - 2020/5/23,36.317646,5.11978
90265,2020/4/5 - 2020/4/11,16.973547,9.23027
90265,2020/4/12 - 2020/4/18,4.476577,2.43438
90265,2020/4/19 - 2020/4/25,3.4167345,1.85803
90265,2020/4/26 - 2020/5/2,12.876318,7.00219
90265,2020/5/3 - 2020/5/9,3.060244,1.66417
90265,2020/5/10 - 2020/5/16,4.7082314,2.56035
90265,2020/5/17 - 2020/5/23,3.378241,1.8371
90266,2020/4/5 - 2020/4/11,23.996475,6.7457
90266,2020/4/12 - 2020/4/18,9.052364,2.54473
90266,2020/4/19 - 2020/4/25,1.076407,0.302591
90266,2020/4/26 - 2020/5/2,13.205788,3.71231
90266,2020/5/3 - 2020/5/9,4.9111524,1.38058
90266,2020/5/10 - 2020/5/16,2.7666056,0.777726
90266,2020/5/17 - 2020/5/23,3.4468727,0.968958
90270,2020/4/12 - 2020/4/18,10.000883,3.64278
90270,2020/4/19 - 2020/4/25,8.518152,3.1027
90270,2020/4/26 - 2020/5/2,23.590185,8.59262
90270,2020/5/3 - 2020/5/9,13.763642,5.01335
90270,2020/5/10 - 2020/5/16,11.436691,4.16576
90270,2020/5/17 - 2020/5/23,10.072537,3.66888
90272,2020/4/5 - 2020/4/11,18.211166,8.07555
90272,2020/4/12 - 2020/4/18,5.762913,2.5555
90272,2020/4/19 - 2020/4/25,0.66649127,0.295548
90272,2020/4/26 - 2020/5/2,-0.17721318,-0.0785833
90272,2020/5/3 - 2020/5/9,-0.5592241,-0.247982
90272,2020/5/10 - 2020/5/16,0.27214697,0.120681
90272,2020/5/17 - 2020/5/23,1.6637547,0.737774
90274,2020/4/12 - 2020/4/18,4.528532,1.79142
90274,2020/4/19 - 2020/4/25,4.0209517,1.59063
90274,2020/4/26 - 2020/5/2,3.6784546,1.45514
90274,2020/5/3 - 2020/5/9,-1.8251209,-0.721991
90274,2020/5/10 - 2020/5/16,-0.785106,-0.310576
90274,2020/5/17 - 2020/5/23,1.3641329,0.539631
90275,2020/4/5 - 2020/4/11,19.35155,4.56179
90275,2020/4/12 - 2020/4/18,12.189023,2.87335
90275,2020/4/19 - 2020/4/25,10.176398,2.39891
90275,2020/4/26 - 2020/5/2,22.3809,5.2759
90275,2020/5/3 - 2020/5/9,11.738896,2.76724
90275,2020/5/10 - 2020/5/16,9.749561,2.29829
90275,2020/5/17 - 2020/5/23,11.019945,2.59776
90278,2020/4/5 - 2020/4/11,21.69949,5.33826
90278,2020/4/12 - 2020/4/18,17.951794,4.41629
90278,2020/4/19 - 2020/4/25,12.945636,3.18474
90278,2020/4/26 - 2020/5/2,19.055027,4.6877
90278,2020/5/3 - 2020/5/9,7.989318,1.96544
90278,2020/5/10 - 2020/5/16,7.763946,1.91
90278,2020/5/17 - 2020/5/23,5.3914104,1.32633
90280,2020/4/5 - 2020/4/11,23.794514,2.50197
90280,2020/4/12 - 2020/4/18,28.07422,2.95198
90280,2020/4/19 - 2020/4/25,33.01244,3.47123
90280,2020/4/26 - 2020/5/2,63.881844,6.71712
90280,2020/5/3 - 2020/5/9,59.76932,6.28469
90280,2020/5/10 - 2020/5/16,53.69479,5.64596
90280,2020/5/17 - 2020/5/23,36.188305,3.80517
90291,2020/4/5 - 2020/4/11,23.68086,8.6034
90291,2020/4/12 - 2020/4/18,6.549986,2.37965
90291,2020/4/19 - 2020/4/25,1.4044063,0.510229
90291,2020/4/26 - 2020/5/2,7.842037,2.84906
90291,2020/5/3 - 2020/5/9,5.586344,2.02955
